breed,precision,recall,f1-score,support
Afghan_hound,0.85,0.98,0.91,47
African_hunting_dog,0.97,0.97,0.97,33
Airedale,0.84,0.93,0.88,40
American_Staffordshire_terrier,0.52,0.81,0.63,32
Appenzeller,0.56,0.67,0.61,30
Australian_terrier,0.86,0.82,0.84,39
Bedlington_terrier,0.97,0.97,0.97,36
Bernese_mountain_dog,0.80,0.93,0.86,43
Blenheim_spaniel,0.97,0.86,0.91,37
Border_collie,0.64,1.00,0.78,30
Border_terrier,0.81,1.00,0.89,34
Boston_bull,0.94,0.86,0.90,36
Bouvier_des_Flandres,0.90,0.90,0.90,30
Brabancon_griffon,0.68,0.87,0.76,30
Brittany_spaniel,0.67,0.93,0.78,30
Cardigan,0.72,0.84,0.78,31
Chesapeake_Bay_retriever,0.88,0.70,0.78,33
Chihuahua,0.63,0.90,0.74,30
Dandie_Dinmont,0.94,0.92,0.93,36
Doberman,0.95,0.67,0.78,30
English_foxhound,0.57,0.84,0.68,31
English_setter,0.85,0.72,0.78,32
English_springer,0.92,0.71,0.80,31
EntleBucher,0.82,0.82,0.82,40
Eskimo_dog,0.57,0.27,0.36,30
French_bulldog,0.79,0.84,0.81,31
German_shepherd,1.00,0.77,0.87,30
German_short-haired_pointer,0.93,0.93,0.93,30
Gordon_setter,0.82,0.93,0.87,30
Great_Dane,1.00,0.55,0.71,31
Great_Pyrenees,0.78,0.86,0.82,42
Greater_Swiss_Mountain_dog,0.85,0.52,0.64,33
Ibizan_hound,0.92,0.89,0.90,37
Irish_setter,0.96,0.74,0.84,31
Irish_terrier,0.91,0.88,0.89,33
Irish_water_spaniel,0.82,0.90,0.86,30
Irish_wolfhound,0.74,0.86,0.80,43
Italian_greyhound,0.78,0.78,0.78,36
Japanese_spaniel,0.90,0.95,0.92,37
Kerry_blue_terrier,0.82,0.94,0.88,35
Labrador_retriever,1.00,0.65,0.79,34
Lakeland_terrier,0.94,0.77,0.85,39
Leonberg,0.95,0.83,0.89,42
Lhasa,0.61,0.59,0.60,37
Maltese_dog,0.91,0.80,0.85,50
Mexican_hairless,0.91,0.97,0.94,31
Newfoundland,0.88,0.90,0.89,39
Norfolk_terrier,0.84,0.79,0.82,34
Norwegian_elkhound,1.00,0.95,0.97,39
Norwich_terrier,0.72,0.84,0.77,37
Old_English_sheepdog,0.86,0.94,0.90,33
Pekinese,0.89,0.83,0.86,29
Pembroke,0.87,0.75,0.81,36
Pomeranian,0.97,0.91,0.94,43
Rhodesian_ridgeback,0.82,0.68,0.74,34
Rottweiler,0.97,0.97,0.97,30
Saint_Bernard,1.00,0.94,0.97,34
Saluki,0.92,0.85,0.88,40
Samoyed,0.93,0.93,0.93,43
Scotch_terrier,1.00,0.84,0.91,31
Scottish_deerhound,0.85,0.89,0.87,46
Sealyham_terrier,0.88,0.93,0.90,40
Shetland_sheepdog,0.72,0.90,0.80,31
Shih-Tzu,0.62,0.81,0.70,42
Siberian_husky,0.51,0.95,0.67,38
Staffordshire_bullterrier,0.82,0.45,0.58,31
Sussex_spaniel,0.76,0.93,0.84,30
Tibetan_mastiff,0.90,0.87,0.88,30
Tibetan_terrier,1.00,0.68,0.81,41
Walker_hound,0.67,0.53,0.59,30
Weimaraner,0.67,0.94,0.78,32
Welsh_springer_spaniel,0.92,0.80,0.86,30
West_Highland_white_terrier,0.87,0.79,0.83,33
Yorkshire_terrier,0.79,0.84,0.82,32
affenpinscher,0.66,0.90,0.76,30
basenji,0.86,0.90,0.88,41
basset,0.94,0.94,0.94,35
beagle,0.97,0.77,0.86,39
black-and-tan_coonhound,0.86,0.81,0.83,31
bloodhound,0.71,1.00,0.83,37
bluetick,0.97,0.88,0.92,34
borzoi,0.96,0.90,0.93,30
boxer,0.90,0.63,0.75,30
briard,0.89,0.83,0.86,30
bull_mastiff,0.71,0.94,0.81,31
cairn,0.85,0.56,0.68,39
chow,1.00,0.90,0.95,39
clumber,1.00,0.87,0.93,30
cocker_spaniel,0.51,0.87,0.64,31
collie,0.82,0.30,0.44,30
curly-coated_retriever,0.96,0.80,0.87,30
dhole,0.88,0.93,0.90,30
dingo,0.69,0.71,0.70,31
flat-coated_retriever,0.73,0.90,0.81,30
giant_schnauzer,0.83,0.65,0.73,31
golden_retriever,0.89,0.80,0.84,30
groenendael,0.83,1.00,0.91,30
keeshond,1.00,0.94,0.97,31
kelpie,0.76,0.83,0.79,30
komondor,0.97,0.93,0.95,30
kuvasz,0.92,0.80,0.86,30
malamute,0.94,0.49,0.64,35
malinois,0.82,0.93,0.87,30
miniature_pinscher,0.87,0.75,0.81,36
miniature_poodle,0.70,0.61,0.66,31
miniature_schnauzer,0.71,0.50,0.59,30
otterhound,0.96,0.77,0.85,30
papillon,1.00,0.92,0.96,39
pug,0.85,0.88,0.86,40
redbone,0.73,0.66,0.69,29
schipperke,0.93,0.87,0.90,30
silky_terrier,0.89,0.86,0.87,36
soft-coated_wheaten_terrier,0.62,0.84,0.71,31
standard_poodle,0.95,0.61,0.75,31
standard_schnauzer,0.55,0.77,0.64,31
toy_poodle,0.60,0.87,0.71,30
toy_terrier,0.97,0.88,0.92,34
vizsla,0.82,0.90,0.86,30
whippet,0.83,0.68,0.75,37
wire-haired_fox_terrier,0.93,0.81,0.86,31
