breed,precision,recall,f1-score,support
Afghan_hound,0.65,0.89,0.75,47
African_hunting_dog,0.89,0.94,0.91,33
Airedale,0.73,0.75,0.74,40
American_Staffordshire_terrier,0.25,0.06,0.10,32
Appenzeller,0.83,0.17,0.28,30
Australian_terrier,0.69,0.69,0.69,39
Bedlington_terrier,1.00,0.72,0.84,36
Bernese_mountain_dog,0.77,0.70,0.73,43
Blenheim_spaniel,0.73,0.73,0.73,37
Border_collie,0.55,0.90,0.68,30
Border_terrier,0.88,0.68,0.77,34
Boston_bull,0.64,0.83,0.72,36
Bouvier_des_Flandres,0.61,0.63,0.62,30
Brabancon_griffon,0.69,0.83,0.76,30
Brittany_spaniel,0.50,0.77,0.61,30
Cardigan,0.64,0.45,0.53,31
Chesapeake_Bay_retriever,0.69,0.67,0.68,33
Chihuahua,0.62,0.43,0.51,30
Dandie_Dinmont,0.93,0.72,0.81,36
Doberman,0.70,0.63,0.67,30
English_foxhound,0.53,0.74,0.62,31
English_setter,0.61,0.53,0.57,32
English_springer,0.81,0.55,0.65,31
EntleBucher,0.50,0.80,0.62,40
Eskimo_dog,0.22,0.27,0.24,30
French_bulldog,0.49,0.77,0.60,31
German_shepherd,0.59,0.77,0.67,30
German_short-haired_pointer,0.62,0.83,0.71,30
Gordon_setter,0.72,0.70,0.71,30
Great_Dane,0.48,0.48,0.48,31
Great_Pyrenees,0.59,0.64,0.61,42
Greater_Swiss_Mountain_dog,0.43,0.70,0.53,33
Ibizan_hound,0.89,0.68,0.77,37
Irish_setter,0.81,0.71,0.76,31
Irish_terrier,0.56,0.76,0.64,33
Irish_water_spaniel,0.88,0.50,0.64,30
Irish_wolfhound,0.35,0.74,0.48,43
Italian_greyhound,0.61,0.31,0.41,36
Japanese_spaniel,0.78,0.86,0.82,37
Kerry_blue_terrier,0.63,0.83,0.72,35
Labrador_retriever,0.82,0.41,0.55,34
Lakeland_terrier,0.45,0.77,0.57,39
Leonberg,0.97,0.74,0.84,42
Lhasa,0.37,0.41,0.38,37
Maltese_dog,0.74,0.68,0.71,50
Mexican_hairless,0.87,0.65,0.74,31
Newfoundland,0.58,0.64,0.61,39
Norfolk_terrier,0.87,0.38,0.53,34
Norwegian_elkhound,0.77,0.85,0.80,39
Norwich_terrier,0.85,0.59,0.70,37
Old_English_sheepdog,0.81,0.79,0.80,33
Pekinese,0.71,0.41,0.52,29
Pembroke,0.76,0.81,0.78,36
Pomeranian,0.81,0.91,0.86,43
Rhodesian_ridgeback,0.92,0.32,0.48,34
Rottweiler,0.75,0.80,0.77,30
Saint_Bernard,0.76,0.76,0.76,34
Saluki,0.89,0.60,0.72,40
Samoyed,0.87,0.77,0.81,43
Scotch_terrier,0.83,0.81,0.82,31
Scottish_deerhound,0.82,0.50,0.62,46
Sealyham_terrier,0.88,0.57,0.70,40
Shetland_sheepdog,0.53,0.74,0.62,31
Shih-Tzu,0.44,0.50,0.47,42
Siberian_husky,0.36,0.63,0.46,38
Staffordshire_bullterrier,0.40,0.77,0.53,31
Sussex_spaniel,0.74,0.83,0.78,30
Tibetan_mastiff,0.56,0.73,0.64,30
Tibetan_terrier,0.62,0.59,0.60,41
Walker_hound,0.73,0.37,0.49,30
Weimaraner,0.73,0.69,0.71,32
Welsh_springer_spaniel,0.74,0.77,0.75,30
West_Highland_white_terrier,0.73,0.67,0.70,33
Yorkshire_terrier,0.49,0.81,0.61,32
affenpinscher,0.73,0.73,0.73,30
basenji,0.79,0.63,0.70,41
basset,0.88,0.60,0.71,35
beagle,0.76,0.67,0.71,39
black-and-tan_coonhound,0.64,0.90,0.75,31
bloodhound,0.57,0.65,0.61,37
bluetick,0.74,0.74,0.74,34
borzoi,0.84,0.70,0.76,30
boxer,0.89,0.57,0.69,30
briard,0.45,0.67,0.54,30
bull_mastiff,0.65,0.84,0.73,31
cairn,0.83,0.51,0.63,39
chow,0.86,0.95,0.90,39
clumber,0.97,0.93,0.95,30
cocker_spaniel,0.64,0.58,0.61,31
collie,0.67,0.20,0.31,30
curly-coated_retriever,0.77,0.67,0.71,30
dhole,0.66,0.90,0.76,30
dingo,0.61,0.65,0.62,31
flat-coated_retriever,0.56,0.60,0.58,30
giant_schnauzer,0.69,0.29,0.41,31
golden_retriever,0.64,0.77,0.70,30
groenendael,1.00,0.67,0.80,30
keeshond,0.96,0.81,0.88,31
kelpie,0.94,0.53,0.68,30
komondor,0.96,0.73,0.83,30
kuvasz,0.57,0.57,0.57,30
malamute,0.67,0.06,0.11,35
malinois,0.62,0.80,0.70,30
miniature_pinscher,0.65,0.78,0.71,36
miniature_poodle,0.45,0.55,0.49,31
miniature_schnauzer,0.47,0.53,0.50,30
otterhound,0.91,0.67,0.77,30
papillon,0.91,0.79,0.85,39
pug,0.96,0.55,0.70,40
redbone,0.42,0.48,0.45,29
schipperke,0.88,0.73,0.80,30
silky_terrier,0.76,0.72,0.74,36
soft-coated_wheaten_terrier,0.35,0.42,0.38,31
standard_poodle,0.42,0.55,0.48,31
standard_schnauzer,0.37,0.65,0.47,31
toy_poodle,0.58,0.50,0.54,30
toy_terrier,0.74,0.68,0.71,34
vizsla,0.69,0.67,0.68,30
whippet,0.50,0.59,0.54,37
wire-haired_fox_terrier,0.81,0.71,0.76,31
