breed,precision,recall,f1-score,support
Afghan_hound,0.92,0.96,0.94,47
African_hunting_dog,1.00,1.00,1.00,33
Airedale,0.81,0.88,0.84,40
American_Staffordshire_terrier,0.75,0.66,0.70,32
Appenzeller,0.78,0.70,0.74,30
Australian_terrier,0.78,0.82,0.80,39
Bedlington_terrier,0.95,1.00,0.97,36
Bernese_mountain_dog,0.93,0.95,0.94,43
Blenheim_spaniel,0.97,0.92,0.94,37
Border_collie,0.93,0.43,0.59,30
Border_terrier,0.89,0.94,0.91,34
Boston_bull,0.94,0.94,0.94,36
Bouvier_des_Flandres,0.83,0.97,0.89,30
Brabancon_griffon,0.96,0.90,0.93,30
Brittany_spaniel,0.82,0.90,0.86,30
Cardigan,0.65,0.90,0.76,31
Chesapeake_Bay_retriever,0.78,0.88,0.83,33
Chihuahua,0.78,0.83,0.81,30
Dandie_Dinmont,0.94,0.94,0.94,36
Doberman,0.93,0.87,0.90,30
English_foxhound,0.52,0.87,0.65,31
English_setter,0.93,0.78,0.85,32
English_springer,0.84,0.84,0.84,31
EntleBucher,0.82,0.80,0.81,40
Eskimo_dog,0.42,0.37,0.39,30
French_bulldog,0.97,0.90,0.93,31
German_shepherd,0.93,0.83,0.88,30
German_short-haired_pointer,0.88,0.93,0.90,30
Gordon_setter,0.96,0.90,0.93,30
Great_Dane,0.88,0.74,0.81,31
Great_Pyrenees,0.75,0.90,0.82,42
Greater_Swiss_Mountain_dog,0.73,0.82,0.77,33
Ibizan_hound,0.89,0.92,0.91,37
Irish_setter,1.00,0.84,0.91,31
Irish_terrier,0.94,0.88,0.91,33
Irish_water_spaniel,0.93,0.87,0.90,30
Irish_wolfhound,0.56,0.91,0.69,43
Italian_greyhound,0.84,0.75,0.79,36
Japanese_spaniel,0.92,0.95,0.93,37
Kerry_blue_terrier,0.89,0.94,0.92,35
Labrador_retriever,0.87,0.79,0.83,34
Lakeland_terrier,0.83,0.62,0.71,39
Leonberg,0.93,0.95,0.94,42
Lhasa,0.72,0.76,0.74,37
Maltese_dog,0.87,0.92,0.89,50
Mexican_hairless,1.00,0.94,0.97,31
Newfoundland,0.69,0.90,0.78,39
Norfolk_terrier,0.77,0.71,0.74,34
Norwegian_elkhound,0.88,0.97,0.93,39
Norwich_terrier,0.69,0.73,0.71,37
Old_English_sheepdog,0.91,0.94,0.93,33
Pekinese,0.81,0.86,0.83,29
Pembroke,0.90,0.72,0.80,36
Pomeranian,0.97,0.91,0.94,43
Rhodesian_ridgeback,0.83,0.88,0.86,34
Rottweiler,0.85,0.97,0.91,30
Saint_Bernard,1.00,0.88,0.94,34
Saluki,0.81,0.88,0.84,40
Samoyed,0.87,0.93,0.90,43
Scotch_terrier,0.84,0.87,0.86,31
Scottish_deerhound,0.87,0.59,0.70,46
Sealyham_terrier,0.97,0.88,0.92,40
Shetland_sheepdog,0.77,0.87,0.82,31
Shih-Tzu,0.82,0.79,0.80,42
Siberian_husky,0.53,0.71,0.61,38
Staffordshire_bullterrier,0.70,0.68,0.69,31
Sussex_spaniel,0.82,0.90,0.86,30
Tibetan_mastiff,0.95,0.70,0.81,30
Tibetan_terrier,0.82,0.80,0.81,41
Walker_hound,0.65,0.57,0.61,30
Weimaraner,0.97,0.91,0.94,32
Welsh_springer_spaniel,0.90,0.90,0.90,30
West_Highland_white_terrier,0.78,0.97,0.86,33
Yorkshire_terrier,0.85,0.69,0.76,32
affenpinscher,0.90,0.90,0.90,30
basenji,0.97,0.80,0.88,41
basset,0.89,0.94,0.92,35
beagle,0.92,0.62,0.74,39
black-and-tan_coonhound,0.73,0.87,0.79,31
bloodhound,0.87,0.70,0.78,37
bluetick,0.94,0.88,0.91,34
borzoi,0.97,0.97,0.97,30
boxer,0.60,0.93,0.73,30
briard,0.89,0.83,0.86,30
bull_mastiff,0.93,0.87,0.90,31
cairn,0.81,0.87,0.84,39
chow,1.00,0.97,0.99,39
clumber,0.85,0.97,0.91,30
cocker_spaniel,0.96,0.71,0.81,31
collie,0.52,0.77,0.62,30
curly-coated_retriever,0.80,0.93,0.86,30
dhole,1.00,0.93,0.97,30
dingo,0.92,0.71,0.80,31
flat-coated_retriever,0.90,0.90,0.90,30
giant_schnauzer,0.88,0.90,0.89,31
golden_retriever,0.89,0.80,0.84,30
groenendael,0.93,0.90,0.92,30
keeshond,1.00,0.97,0.98,31
kelpie,0.72,0.77,0.74,30
komondor,0.90,0.93,0.92,30
kuvasz,0.92,0.77,0.84,30
malamute,0.90,0.54,0.68,35
malinois,0.88,0.73,0.80,30
miniature_pinscher,0.80,0.89,0.84,36
miniature_poodle,0.55,0.77,0.64,31
miniature_schnauzer,0.73,0.90,0.81,30
otterhound,0.91,0.97,0.94,30
papillon,1.00,0.87,0.93,39
pug,1.00,0.78,0.87,40
redbone,0.82,0.79,0.81,29
schipperke,0.83,1.00,0.91,30
silky_terrier,0.88,0.78,0.82,36
soft-coated_wheaten_terrier,0.88,0.71,0.79,31
standard_poodle,0.91,0.65,0.75,31
standard_schnauzer,0.86,0.58,0.69,31
toy_poodle,0.76,0.43,0.55,30
toy_terrier,0.77,0.79,0.78,34
vizsla,0.80,0.93,0.86,30
whippet,0.60,0.81,0.69,37
wire-haired_fox_terrier,0.82,0.74,0.78,31
